epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4935,1.66792,1.87278,1.42901,0.39472,0.65108,0.49797,0.24395,1.83109,inf,1.61494,0.0004,0.0004,0.0004
2,46.3623,1.54176,1.04168,1.35114,0.28942,0.31002,0.16921,0.08045,2.27911,3.46269,1.96217,0.000815941,0.000815941,0.000815941
3,64.7343,1.48456,0.96269,1.33708,0.00024,0.00064,0.00012,1e-05,nan,nan,nan,0.00122772,0.00122772,0.00122772
4,95.4381,1.50029,0.99319,1.3458,0.00815,0.03307,0.00381,0.00079,4.76981,inf,12.2621,0.00163535,0.00163535,0.00163535
5,110.425,1.62495,1.03657,1.39595,0.00083,0.00064,0.00042,0.00015,nan,nan,nan,0.0019604,0.0019604,0.0019604
6,126.088,1.59549,1.02588,1.40833,0.00902,0.01971,0.0046,0.00152,nan,nan,nan,0.0019505,0.0019505,0.0019505
7,156.972,1.52752,0.97057,1.3713,0.57049,0.39714,0.41989,0.22108,2.12685,1.94756,1.97121,0.0019406,0.0019406,0.0019406
8,182.994,1.55249,0.97887,1.3631,0.20487,0.11065,0.05551,0.02614,3.1508,3.6114,3.77951,0.0019307,0.0019307,0.0019307
9,206.5,1.48205,0.9437,1.32836,0.46779,0.5352,0.36376,0.18545,1.91133,2.52915,1.75073,0.0019208,0.0019208,0.0019208
10,215.367,1.41531,0.89626,1.30459,0.6065,0.45332,0.48108,0.25327,1.99391,1.73629,1.70938,0.0019109,0.0019109,0.0019109
11,249.094,1.44096,0.89983,1.30554,0.66569,0.51638,0.58006,0.29198,1.90561,1.87811,1.72291,0.001901,0.001901,0.001901
12,268.372,1.47461,0.90976,1.3021,0.72889,0.56762,0.66325,0.42725,1.39884,1.12153,1.39736,0.0018911,0.0018911,0.0018911
13,298.078,1.40568,0.87132,1.29423,0.75039,0.65859,0.72564,0.46303,1.40984,1.00859,1.38386,0.0018812,0.0018812,0.0018812
14,311.437,1.38788,0.84532,1.2715,0.80047,0.62761,0.7315,0.48051,1.31531,0.93411,1.3211,0.0018713,0.0018713,0.0018713
15,328.907,1.36043,0.84361,1.26828,0.80502,0.71415,0.79846,0.49045,1.43186,0.94501,1.32054,0.0018614,0.0018614,0.0018614
16,347.952,1.36486,0.84567,1.28184,0.84585,0.71955,0.81532,0.5083,1.40005,0.86672,1.30683,0.0018515,0.0018515,0.0018515
17,356.946,1.3749,0.84314,1.2807,0.84096,0.69921,0.79895,0.49915,1.40289,0.8889,1.30511,0.0018416,0.0018416,0.0018416
18,377.153,1.36205,0.85175,1.26191,0.84288,0.71733,0.80577,0.43571,1.70508,0.97973,1.48371,0.0018317,0.0018317,0.0018317
19,386.082,1.34093,0.85406,1.25284,0.805,0.70811,0.79253,0.52095,1.23463,1.00208,1.29176,0.0018218,0.0018218,0.0018218
20,400.575,1.28839,0.80793,1.22919,0.84623,0.70397,0.80387,0.53861,1.22468,0.83616,1.27527,0.0018119,0.0018119,0.0018119
21,418.768,1.3522,0.80634,1.25231,0.79186,0.63307,0.72676,0.48596,1.24336,1.01413,1.28726,0.001802,0.001802,0.001802
22,430.203,1.27327,0.76029,1.20763,0.8543,0.74945,0.834,0.54302,1.31431,0.87266,1.26287,0.0017921,0.0017921,0.0017921
23,448.474,1.29724,0.78448,1.22805,0.85686,0.73895,0.83495,0.58246,1.12638,0.78073,1.19322,0.0017822,0.0017822,0.0017822
24,457.125,1.28163,0.76967,1.22253,0.84934,0.71701,0.81602,0.56431,1.13701,0.79578,1.22357,0.0017723,0.0017723,0.0017723
25,468.466,1.29863,0.79485,1.22559,0.84187,0.74821,0.83673,0.56183,1.20251,0.8313,1.21477,0.0017624,0.0017624,0.0017624
26,486.758,1.27184,0.76618,1.19827,0.858,0.71924,0.83031,0.51411,1.48956,0.82342,1.35529,0.0017525,0.0017525,0.0017525
27,502.265,1.29183,0.76745,1.20976,0.85858,0.76061,0.8472,0.59796,1.10707,0.71869,1.18225,0.0017426,0.0017426,0.0017426
28,511.146,1.31692,0.76498,1.23521,0.87644,0.75485,0.84643,0.59545,1.11301,0.71418,1.1772,0.0017327,0.0017327,0.0017327
29,530.882,1.25853,0.7828,1.21485,0.82975,0.75548,0.83052,0.52334,1.38844,0.83087,1.2951,0.0017228,0.0017228,0.0017228
30,542.254,1.2682,0.75903,1.19923,0.88037,0.77921,0.86476,0.57295,1.26615,0.70782,1.21656,0.0017129,0.0017129,0.0017129
31,553.434,1.16863,0.71411,1.15174,0.88466,0.77107,0.86447,0.59239,1.19419,0.67182,1.18931,0.001703,0.001703,0.001703
32,567.9,1.22583,0.72644,1.18536,0.87699,0.74626,0.84338,0.48408,1.6166,0.79175,1.40652,0.0016931,0.0016931,0.0016931
33,583.117,1.28071,0.76686,1.23532,0.86268,0.73037,0.8277,0.41979,1.88828,0.83974,1.55326,0.0016832,0.0016832,0.0016832
34,591.745,1.25082,0.74226,1.18974,0.90072,0.76735,0.85926,0.55685,1.37296,0.70841,1.25781,0.0016733,0.0016733,0.0016733
35,601.353,1.2317,0.73624,1.18925,0.89601,0.77809,0.87218,0.58168,1.24284,0.68926,1.20167,0.0016634,0.0016634,0.0016634
36,614.414,1.21837,0.72045,1.19091,0.89121,0.77624,0.85993,0.53123,1.38412,0.74564,1.25875,0.0016535,0.0016535,0.0016535
37,623.043,1.23518,0.73014,1.1957,0.86955,0.73927,0.84045,0.58724,1.11119,0.68347,1.16793,0.0016436,0.0016436,0.0016436
38,643.745,1.20725,0.72621,1.17724,0.88985,0.77774,0.86719,0.60368,1.14253,0.65441,1.15881,0.0016337,0.0016337,0.0016337
39,652.441,1.17027,0.69602,1.15322,0.87722,0.793,0.86709,0.56955,1.2416,0.74705,1.197,0.0016238,0.0016238,0.0016238
40,668.677,1.16561,0.69061,1.16123,0.89178,0.78537,0.87182,0.62171,1.06023,0.64795,1.13061,0.0016139,0.0016139,0.0016139
41,695.853,1.18714,0.6886,1.16153,0.91533,0.79746,0.88167,0.62942,1.08666,0.61302,1.14042,0.001604,0.001604,0.001604
