epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1493.12,1.20138,0.69661,1.18041,0.89128,0.78117,0.86096,0.60115,1.07912,0.62606,1.13145,0.0015941,0.0015941,0.0015941
43,1510.19,1.19226,0.67281,1.14652,0.88029,0.74786,0.84563,0.6046,1.01065,0.6765,1.13764,0.0015842,0.0015842,0.0015842
44,1528.06,1.18312,0.68034,1.16475,0.90379,0.78233,0.86419,0.62214,1.01024,0.6021,1.11713,0.0015743,0.0015743,0.0015743
45,1563.23,1.18697,0.68559,1.17483,0.8983,0.78372,0.86212,0.63585,0.94479,0.57948,1.09088,0.0015644,0.0015644,0.0015644
46,1627.14,1.14445,0.65852,1.13972,0.90541,0.77608,0.85985,0.61327,1.05343,0.60666,1.11054,0.0015545,0.0015545,0.0015545
47,1645.62,1.15578,0.66594,1.14499,0.9082,0.78695,0.87049,0.65026,0.90769,0.56139,1.07813,0.0015446,0.0015446,0.0015446
48,1664.65,1.23279,0.69109,1.17231,0.91173,0.78847,0.87115,0.64623,0.91736,0.5658,1.08352,0.0015347,0.0015347,0.0015347
49,1689.84,1.17129,0.66598,1.14178,0.90238,0.78475,0.87077,0.6284,0.99851,0.58276,1.10027,0.0015248,0.0015248,0.0015248
50,1723.37,1.13199,0.6498,1.14575,0.91237,0.7858,0.87078,0.6546,0.9232,0.54675,1.0752,0.0015149,0.0015149,0.0015149
51,1752.12,1.15954,0.66205,1.14944,0.91505,0.77487,0.85635,0.61367,1.02685,0.58697,1.10556,0.001505,0.001505,0.001505
52,1859.93,1.15553,0.66111,1.15057,0.89505,0.77146,0.86142,0.64277,0.93107,0.5733,1.0813,0.0014951,0.0014951,0.0014951
53,1883.72,1.15665,0.65625,1.14344,0.89549,0.769,0.85588,0.63439,0.94005,0.60613,1.09229,0.0014852,0.0014852,0.0014852
54,1920.04,1.1109,0.63022,1.11264,0.9035,0.77886,0.87012,0.65388,0.87614,0.56892,1.06813,0.0014753,0.0014753,0.0014753
55,1941.41,1.11269,0.63523,1.12882,0.92004,0.79204,0.87906,0.65573,0.89936,0.54878,1.06293,0.0014654,0.0014654,0.0014654
56,1967.69,1.13895,0.64872,1.13311,0.92255,0.79089,0.87124,0.63877,0.96917,0.56067,1.08437,0.0014555,0.0014555,0.0014555
57,2019.21,1.09509,0.6283,1.12029,0.92073,0.79533,0.87985,0.66706,0.86941,0.52426,1.05498,0.0014456,0.0014456,0.0014456
58,2082.42,1.11389,0.63874,1.12088,0.9153,0.78279,0.87208,0.61933,1.03846,0.56764,1.10873,0.0014357,0.0014357,0.0014357
59,2135.81,1.13157,0.66156,1.1524,0.89578,0.77516,0.85543,0.64281,0.89778,0.5873,1.08191,0.0014258,0.0014258,0.0014258
60,2167.03,1.11359,0.64772,1.12946,0.88596,0.78765,0.85915,0.64793,0.88075,0.55795,1.0759,0.0014159,0.0014159,0.0014159
61,2222.18,1.08157,0.62767,1.11381,0.90489,0.79505,0.87528,0.65376,0.90665,0.53995,1.07074,0.001406,0.001406,0.001406
62,2269.14,1.11598,0.62696,1.11295,0.9197,0.78683,0.87391,0.6634,0.89562,0.54106,1.06188,0.0013961,0.0013961,0.0013961
63,2306.07,1.20678,0.66503,1.15857,0.9123,0.79991,0.87615,0.64156,0.95862,0.55263,1.08667,0.0013862,0.0013862,0.0013862
64,2353.76,1.10893,0.63864,1.12137,0.91669,0.79112,0.87179,0.62275,1.05166,0.55747,1.10903,0.0013763,0.0013763,0.0013763
65,2377.67,1.12336,0.63607,1.12869,0.92812,0.79751,0.87912,0.64531,0.9413,0.5387,1.06157,0.0013664,0.0013664,0.0013664
66,2418.15,1.13864,0.65162,1.13251,0.92495,0.79828,0.88199,0.62906,1.05061,0.55623,1.10606,0.0013565,0.0013565,0.0013565
67,2451.29,1.09673,0.63285,1.12736,0.92021,0.81105,0.88431,0.65586,0.93661,0.53005,1.07242,0.0013466,0.0013466,0.0013466
68,2480.21,1.1242,0.63524,1.13325,0.92859,0.805,0.88324,0.59007,1.21452,0.57244,1.14543,0.0013367,0.0013367,0.0013367
69,2561.62,1.10259,0.63116,1.12677,0.9181,0.80385,0.88173,0.6719,0.86817,0.52911,1.05824,0.0013268,0.0013268,0.0013268
70,2760.39,1.07933,0.60936,1.11542,0.92397,0.79227,0.87741,0.66673,0.87041,0.52606,1.05814,0.0013169,0.0013169,0.0013169
71,2849.19,1.08099,0.61622,1.09831,0.90899,0.81217,0.88347,0.67424,0.87313,0.51881,1.05374,0.001307,0.001307,0.001307
72,3153.44,1.14046,0.63899,1.13807,0.92189,0.80813,0.88023,0.64655,0.97966,0.52334,1.07515,0.0012971,0.0012971,0.0012971
73,3360.22,1.08172,0.62553,1.11845,0.92936,0.80222,0.88301,0.65484,0.94866,0.53156,1.06362,0.0012872,0.0012872,0.0012872
74,3398.64,1.06867,0.60453,1.10249,0.92741,0.80916,0.88415,0.67194,0.85715,0.50805,1.04182,0.0012773,0.0012773,0.0012773
75,3431.27,1.06178,0.60078,1.10061,0.92338,0.82211,0.89213,0.65347,0.98116,0.53336,1.07258,0.0012674,0.0012674,0.0012674
76,3452.42,1.06555,0.60693,1.10694,0.91588,0.8087,0.88319,0.66073,0.93179,0.53327,1.05199,0.0012575,0.0012575,0.0012575
